year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2021,Erie-Meadville,Collector (Major and Minor),450251590,2277.587,0.5,0.7
2021,Erie-Meadville,Local,418704275,6927.4,0.3,0.5
2021,Harrisburg-York-Lebanon,Interstate/Freeway/Expressway,4883025845,1269.032,0.7,1
2021,Harrisburg-York-Lebanon,Minor Arterial,1916345265,1774.584,0.5,0.7
2021,Harrisburg-York-Lebanon,Collector (Major and Minor),1804315450,4516.148,0.5,0.7
2021,Harrisburg-York-Lebanon,Local,1310283935,16633.6,0.3,0.5
2021,Johnston-Somerset,Interstate/Freeway/Expressway,636676800,457.072,0.7,1
2021,Johnston-Somerset,Minor Arterial,274371960,561.204,0.5,0.7
2021,Johnston-Somerset,Collector (Major and Minor),387982590,2050.347,0.5,0.7
2021,Johnston-Somerset,Local,287372165,5431.8,0.3,0.5
2021,Lancaster,Interstate/Freeway/Expressway,1409956310,362.096,0.7,1
2021,Lancaster,Minor Arterial,1085721700,733.824,0.5,0.7
2021,Lancaster,Collector (Major and Minor),828125505,1705.782,0.5,0.7
2021,Lancaster,Local,601403930,5519.2,0.3,0.5
2021,Philadelphia,Interstate/Freeway/Expressway,8816854955,1418.28,0.7,1
2021,Philadelphia,Minor Arterial,3868999635,2900.772,0.5,0.7
2021,Philadelphia,Collector (Major and Minor),2779858615,4532.45,0.5,0.7
2021,Philadelphia,Local,2697236485,22269.2,0.3,0.5
2021,Pittsburgh,Interstate/Freeway/Expressway,6315997230,2397.72,0.7,1
2021,Pittsburgh,Minor Arterial,3654156985,4422.096,0.5,0.7
2021,Pittsburgh,Collector (Major and Minor),2462694420,8983.884,0.5,0.7
2021,Pittsburgh,Local,2377035490,33726.4,0.3,0.5
2021,Reading,Interstate/Freeway/Expressway,1356172465,373.968,0.7,1
2021,Reading,Minor Arterial,618870640,509.796,0.5,0.7
2021,Reading,Collector (Major and Minor),463287200,1272.544,0.5,0.7
2021,Reading,Local,484678390,4866.6,0.3,0.5
2021,Scranton-Wilkes-Barre,Interstate/Freeway/Expressway,1979781170,759.808,0.7,1
2021,Scranton-Wilkes-Barre,Minor Arterial,940591130,1056.384,0.5,0.7
2021,Scranton-Wilkes-Barre,Collector (Major and Minor),547808060,1967.849,0.5,0.7
2021,Scranton-Wilkes-Barre,Local,716922780,6944.2,0.3,0.5
2021,State College-Dubois,Interstate/Freeway/Expressway,989539090,488.448,0.7,1
2021,State College-Dubois,Minor Arterial,370924315,583.128,0.5,0.7
2021,State College-Dubois,Collector (Major and Minor),278455580,1611.922,0.5,0.7
2021,State College-Dubois,Local,183918025,4649.4,0.3,0.5
2021,Williamsport-Lock Haven,Interstate/Freeway/Expressway,287188570,162.392,0.7,1
2021,Williamsport-Lock Haven,Minor Arterial,84727450,228.564,0.5,0.7
2021,Williamsport-Lock Haven,Collector (Major and Minor),64018445,369.512,0.5,0.7
2021,Williamsport-Lock Haven,Local,51466095,889.2,0.3,0.5
2022,Allentown-Bethlehem-East Stroudsburg,Interstate/Freeway/Expressway,3338755010,833.584,0.7,1
2022,Allentown-Bethlehem-East Stroudsburg,Minor Arterial,1256740260,1007.244,0.5,0.7
2022,Allentown-Bethlehem-East Stroudsburg,Collector (Major and Minor),1005990735,2215.837,0.5,0.7
2022,Allentown-Bethlehem-East Stroudsburg,Local,1183530020,9575.4,0.3,0.5
2022,Altoona-Huntingdon,Interstate/Freeway/Expressway,371428015,216.24,0.7,1
2022,Altoona-Huntingdon,Minor Arterial,275662235,387.072,0.5,0.7
2022,Altoona-Huntingdon,Collector (Major and Minor),264029685,1281.189,0.5,0.7
2022,Altoona-Huntingdon,Local,126713035,3511,0.3,0.5
2022,Bloomsburg-Berwick-Sunbury,Interstate/Freeway/Expressway,630958710,308.248,0.7,1
2022,Bloomsburg-Berwick-Sunbury,Minor Arterial,490652710,729.288,0.5,0.7
2022,Bloomsburg-Berwick-Sunbury,Collector (Major and Minor),401511680,2020.46,0.5,0.7
2022,Bloomsburg-Berwick-Sunbury,Local,243380540,6826.2,0.3,0.5
2022,Erie-Meadville,Interstate/Freeway/Expressway,812749150,424.424,0.7,1
2022,Erie-Meadville,Minor Arterial,651570260,1040.256,0.5,0.7
2022,Erie-Meadville,Collector (Major and Minor),428834120,2277.587,0.5,0.7
2022,Erie-Meadville,Local,370278995,6852.8,0.3,0.5
2022,Harrisburg-York-Lebanon,Interstate/Freeway/Expressway,4466041085,1267.336,0.7,1
2022,Harrisburg-York-Lebanon,Minor Arterial,1864942680,1774.332,0.5,0.7
2022,Harrisburg-York-Lebanon,Collector (Major and Minor),1812547295,4516.148,0.5,0.7
2022,Harrisburg-York-Lebanon,Local,1319894750,16769.2,0.3,0.5
2022,Johnston-Somerset,Interstate/Freeway/Expressway,731022365,457.072,0.7,1
2022,Johnston-Somerset,Minor Arterial,285307725,561.204,0.5,0.7
2022,Johnston-Somerset,Collector (Major and Minor),391321610,2050.347,0.5,0.7
2022,Johnston-Somerset,Local,152109370,5436.4,0.3,0.5
2022,Lancaster,Interstate/Freeway/Expressway,1575188525,362.096,0.7,1
2022,Lancaster,Minor Arterial,1018791285,734.076,0.5,0.7
2022,Lancaster,Collector (Major and Minor),795317845,1706.029,0.5,0.7
2022,Lancaster,Local,659000200,5524.4,0.3,0.5
2022,Philadelphia,Interstate/Freeway/Expressway,8597700560,1418.28,0.7,1
2022,Philadelphia,Minor Arterial,3819563305,2900.52,0.5,0.7
2022,Philadelphia,Collector (Major and Minor),2732936770,4532.697,0.5,0.7
2022,Philadelphia,Local,2793378580,22199.2,0.3,0.5
2022,Pittsburgh,Interstate/Freeway/Expressway,6116126515,2455.384,0.7,1
2022,Pittsburgh,Minor Arterial,3643688055,4420.08,0.5,0.7
2022,Pittsburgh,Collector (Major and Minor),2491463720,8984.378,0.5,0.7
2022,Pittsburgh,Local,2286024565,33468.8,0.3,0.5
2022,Reading,Interstate/Freeway/Expressway,1275829030,373.968,0.7,1
2022,Reading,Minor Arterial,609302895,509.796,0.5,0.7
2022,Reading,Collector (Major and Minor),456513895,1272.544,0.5,0.7
2022,Reading,Local,477082010,4822.6,0.3,0.5
2022,Scranton-Wilkes-Barre,Interstate/Freeway/Expressway,1836867610,759.808,0.7,1
2022,Scranton-Wilkes-Barre,Minor Arterial,925322815,1056.384,0.5,0.7
2022,Scranton-Wilkes-Barre,Collector (Major and Minor),543295200,1967.849,0.5,0.7
2022,Scranton-Wilkes-Barre,Local,726462785,6872.8,0.3,0.5
2022,State College-Dubois,Interstate/Freeway/Expressway,852280475,488.448,0.7,1
2022,State College-Dubois,Minor Arterial,356008955,583.128,0.5,0.7
2022,State College-Dubois,Collector (Major and Minor),277165305,1610.934,0.5,0.7
2022,State College-Dubois,Local,166875810,5136.6,0.3,0.5
2022,Williamsport-Lock Haven,Interstate/Freeway/Expressway,268245070,162.392,0.7,1
2022,Williamsport-Lock Haven,Minor Arterial,76409830,228.816,0.5,0.7
2022,Williamsport-Lock Haven,Collector (Major and Minor),65611305,370.006,0.5,0.7
2022,Williamsport-Lock Haven,Local,52142075,1506,0.3,0.5
